professor_id,professor_name,school,school_id,course,rating,date,comment
855539,Caren Marzban,University of Washington,1530,MATH395,5.0,"Feb 23rd, 2026","Very good professor, and he is kind to students, easy to communicate."
855539,Caren Marzban,University of Washington,1530,STAT390,1.0,"Dec 12th, 2025","Yes his class is difficult. Yes he makes his exams unnecessarily difficult though it is all content relevant to the course (none of that ""it wasn't taught in class"" stuff), however there is absolutely 0 curve, the class is structured similar to that of a weed-out class but for the flowers that have yet to bloom. Do not take this class"
855539,Caren Marzban,University of Washington,1530,MATH390,5.0,"Dec 8th, 2025","Unfortunately, I am just another engineering student who has to take this class to graduate. Despite all that, he has taught me many things about statistics in the limited amount of time I dedicated to this class. His classwork is not easy, but he tried his best to deliver and gave us opportunities to think. Amazing lecture notes, sometimes funny"
855539,Caren Marzban,University of Washington,1530,STAT390,2.0,"Nov 26th, 2025","This class is almost as much about memorization as it is about statistics. So many symbols and concepts are similar, but importantly not the same thing. Professor Marzban is charismatic and tries to explain things, but there's simply too much content for him to do a good job. You also learn R for your quiz section, and don't use it otherwise."
855539,Caren Marzban,University of Washington,1530,MATH395,4.0,"Jun 24th, 2025","Requires attendance, the tests are harsh but completely graded on a bell curve. The only complaint would be that the tests are so time constrained that you barely have enough time to find the clever insights needed for some more difficult questions."
855539,Caren Marzban,University of Washington,1530,STAT390,5.0,"Jun 15th, 2025","Very enthusiastic about the subject, and many complained-about-policies have been changed since past reviews here! Informational lectures, but lecture notes are a bit difficult to follow and lectures are not recorded. Clicker quizzes. Exams are rather difficult compared to homework but there are like 20 practice exams to get familiar with."
855539,Caren Marzban,University of Washington,1530,MATH395,2.0,"Jun 7th, 2025",He doesn't record lectures and goes fast during lecture. its all conceptual so its ez to feel lost in the class. he has an interesting way of writing his hw and exam questions. there's clicker questions during lecture based on accuracy which is annoying. also he doesnt post blank past exams. but ig hes very passionate abt teaching.
855539,Caren Marzban,University of Washington,1530,MATH395,3.0,"May 21st, 2025","He clearly cares. His grading guidelines are statistically fair. He's an engaging presenter. However, the lecture notes are difficult to reread. I also took him for 390 and the R labs clearly need some work there."
855539,Caren Marzban,University of Washington,1530,STAT390,4.0,"Mar 26th, 2025","Generally good professor. He is very enthusiastic about stats and teaching which is what I think made me like the class and subject. Tests are very conceptual and quite difficult but manageable if you understand the concepts well, meaning that you complete all the homework and attend lecture. Labs were also not too difficult but need R knowledge."
855539,Caren Marzban,University of Washington,1530,STAT390,1.0,"Mar 20th, 2025","The concepts in this class are interesting, but Marzban somehow finds a way to make you despise it. Labs were horrible as you learned everything about R on your own, and lectures were dull and unorganized. Tests were very conceptual, which could be fine if he was not trying to make you choose wrong."
855539,Caren Marzban,University of Washington,1530,ST421A,1.0,"Mar 7th, 2025","This is me being objective, I've had Marzban for 2 classes. He assigns homework on MWF that are all due the following Monday. The homework he assigns on Fridays(heavy load) where you might be spending all sat/sun working on it also the weekly quizzes suck and homework is obscure and long. I graduated in stats from UW, avoid him if you can."
855539,Caren Marzban,University of Washington,1530,STAT220,3.0,"Feb 14th, 2025","Marzban's STAT220 class is tough, but with the right prep and tools like Unstuckstudy, you can get through it. Attendance is a must, and the exams require careful studying of the textbook and lecture notes. Overall, the class is doable with dedication."
855539,Caren Marzban,University of Washington,1530,MATH395,1.0,"Sep 26th, 2024",No record for reviewing and attendence madatory
855539,Caren Marzban,University of Washington,1530,STAT220,1.0,"Jun 12th, 2024","do NOT take this class if required for your humanities major, as a soc major who despises STEM marzban had me STRESSED! did awful (whole class did) on the midterm and did slightly less awful on the final and ended with a B only bc i did good on every single HW and lab quiz, and went to every class (lecture MWF lab TTH is insane btw)"
